"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"11" 3.52197149112684e-09 3.4613837707217e-05 2.85274494536378e-08 1.00150231084206e-07 1.10106307911668e-11 1.001497833082e-07 1.47927842149816e-06 0.0161119131009111 7.80709036609118e-08 3.25678604753335e-05 4.19873310908607e-07 2.7558248444913e-08 9.3052037320574e-06 1.33168956611742e-05 1.05636498708819e-12 4.72474709781266e-08 1.29450818016888e-06 0.0144539938971113 0.0108344286315498 3.8802825892638e-08 1.52132214696378e-06 1.53967082144124e-06 4.99324607309617e-15 0.00860283102906271 0.028313546050993 0.000852584350471394 2.80606810713039e-05 7.25880625451475e-10 1.61692503374468e-09 0.000171903712865354
"12" 9.01804840671926e-09 6.23467414564251e-05 5.89250261080011e-08 2.14812615790276e-07 2.96642658754985e-11 2.1481110422051e-07 2.71872984016316e-06 0.0169913124542295 1.38781360455494e-07 5.08833537058616e-05 8.96068690263199e-07 6.02306889614087e-08 1.49114381197537e-05 2.46037116036136e-05 3.56088779159138e-12 1.08691506556017e-07 2.40725025054646e-06 0.0155081622639323 0.011950998114045 9.0144180408202e-08 2.96204377995078e-06 3.00358204391679e-06 2.47789404399156e-14 0.00711431228648476 0.0293887668888128 0.00116333232884901 4.93788241156285e-05 2.40841323090489e-09 4.20238521998905e-09 0.000257639024518455
"13" 2.12336700588988e-08 0.000105446944889256 1.14303897525578e-07 4.29586328083703e-07 7.35024583879233e-11 4.29581732804823e-07 4.72548328833124e-06 0.0176635291275709 2.34946481026025e-07 7.62563667604303e-05 1.78295535240363e-06 1.22760825034467e-07 2.29130778386891e-05 4.26687537774853e-05 1.08093941931671e-11 2.31507269502306e-07 4.23300032352793e-06 0.0164030233559179 0.0129970685865766 1.94010094739241e-07 5.41700066248966e-06 5.50397207235692e-06 1.06916428056815e-13 0.00587947573415851 0.0300228408214523 0.001532368389184 8.21314336463755e-05 7.14246348219781e-09 1.00429838743021e-08 0.000370171282978554
"14" 4.65492460647788e-08 0.000169031971444551 2.10178040861256e-07 8.09310163254959e-07 1.69591922706755e-10 8.09297385737335e-07 7.83223809057194e-06 0.0181383849925451 3.81545499933579e-07 0.000110304457417793 3.34199825366924e-06 2.35759907084656e-07 3.39713872346828e-05 7.01087865060663e-05 3.00108905381099e-11 4.61771565591102e-07 7.09704354059912e-06 0.0171386081001284 0.0139646524376317 3.91260243211513e-07 9.39235736882979e-06 9.5626861960242e-06 4.0949455144568e-13 0.00485575401792273 0.0303195221476639 0.00195867851860382 0.00013019550616774 1.92486018901511e-08 2.23449062321667e-08 0.000513040404150895
"15" 9.59506189287013e-08 0.000258725648537056 3.69047004176234e-07 1.44815149262368e-06 3.67972063346608e-10 1.44811859453811e-06 1.24605141726582e-05 0.0184291497775354 5.97799518575991e-07 0.00015476430497631 5.94974491127218e-06 4.30140323895177e-07 4.88367110744611e-05 0.000109949317352183 7.71490435549822e-11 8.70364688223483e-07 1.14197269279187e-05 0.0177184653759166 0.0148481812737018 7.46071299111382e-07 1.55543685655662e-05 1.58691822384653e-05 1.41518250852792e-12 0.00400761269911613 0.030379007017379 0.00243942121336814 0.000197992039079742 4.77615395083514e-08 4.67427533985541e-08 0.00068927556570068
"16" 1.87445429156593e-07 0.00038040515442919 6.22480914627574e-07 2.47752628001691e-06 7.56787968324407e-10 2.47744706859608e-06 1.91291425373727e-05 0.0185513765063753 9.07832781875333e-07 0.000211465452158419 1.01271360740742e-05 7.50502907810585e-07 6.83449076453834e-05 0.000165559598703204 1.85464588235380e-10 1.56151457545021e-06 1.77287470270523e-05 0.0181488199120822 0.0156441668877946 1.35496269929086e-06 2.47505655759824e-05 2.53036333857433e-05 4.47173469975078e-12 0.00330540880527349 0.0302887841958476 0.00297011337843263 0.000290375357426826 1.10274531351049e-07 9.26644433814506e-08 0.000901254420699889
"17" 3.49310231526504e-07 0.000539908589070053 1.01351961960789e-06 4.07451999078592e-06 1.4849082558366e-09 4.07434017913214e-06 2.84607043466717e-05 0.0185219794011861 1.34134585594816e-06 0.000282302953576952 1.6569846723991e-05 1.25905949048282e-06 9.34119550368571e-05 0.000240531946557243 4.20330823131817e-10 2.68254025464734e-06 2.66699078153255e-05 0.018437869256693 0.0163508987972668 2.35771306727295e-06 3.80273179306379e-05 3.89562559771283e-05 1.30596812624442e-11 0.00272443268589878 0.0301185939973351 0.00354487198792341 0.000412486020198174 2.38970244441549e-07 1.75223029055579e-07 0.00115059501138885
"18" 6.24296818258364e-07 0.000742727385258234 1.59937102357948e-06 6.47045221008719e-06 2.79462776465063e-09 6.47006479526033e-06 4.11855933991009e-05 0.0183585132273489 1.93429115643384e-06 0.000369209944923799 2.61781194498079e-05 2.0400400200449e-06 0.000125026930283173 0.000338533062298621 9.04144830836009e-10 4.43449046798067e-06 3.90158407898923e-05 0.0185952007602604 0.0169681748418702 3.95013529685228e-06 5.6642775529041e-05 5.8141603860452e-05 3.55688743827028e-11 0.00224410468205956 0.0299187445743146 0.00415669128917281 0.000569575105590694 4.8954605875557e-07 3.17746826900178e-07 0.00143808267448362
"19" 1.07490356331562e-06 0.000993707740724205 2.45438303307984e-06 9.95918041188114e-06 5.06758927339767e-09 9.95838369308809e-06 5.81434865955053e-05 0.0180786190533153 2.7295415529521e-06 0.00047413097864525 4.00844088650514e-05 3.20450613630962e-06 0.000164243582543254 0.00046313747063605 1.85628483946135e-09 7.0832637651467e-06 5.56722523126613e-05 0.0186313118229838 0.0174970616384491 6.39858203285057e-06 8.20744736867165e-05 8.44068062571241e-05 9.1021804798429e-11 0.00184730258077537 0.0297209152057648 0.00479773762332563 0.000766809286845975 9.5373759058337e-07 5.55056556687144e-07 0.0017636321222595
"20" 1.78978414901444e-06 0.00129678271023578 3.67325341648612e-06 1.49047153243145e-05 8.88761241356835e-09 1.49031439844469e-05 8.02821174423833e-05 0.0176996066177554 3.77754319607813e-06 0.00059899679824916 5.96771156843981e-05 4.89546854460983e-06 0.000212170734335553 0.000617654569207461 3.65492288619677e-09 1.09707084368782e-05 7.76813501573354e-05 0.0185572187127381 0.0179396819726896 1.00559578753939e-05 0.000116021184682105 0.000119533003518246 2.20248887603752e-10 0.00151979960624133 0.029540593780041 0.00545964659726037 0.00100906693388951 1.77604164624165e-06 9.37588502507897e-07 0.00212628318468543
"21" 2.89132283985113e-06 0.00165475234834926 5.37443263076654e-06 2.1747723064024e-05 1.51246748200177e-08 2.17447388186863e-05 0.000108653353162634 0.0172381480350231 5.13694425175821e-06 0.000745701053887219 8.66187530187709e-05 7.29318512165977e-06 0.000269961750317141 0.00080496111998379 6.92952151075206e-09 1.65251420020244e-05 0.000106222196691082 0.0183841410880631 0.0182990264715149 1.53789255065289e-05 0.000160398901288298 0.000165529533698747 5.06671568578808e-10 0.00124979589712649 0.029380399363864 0.00613381012490302 0.0013007355659054 3.17502244528994e-06 1.53644567546597e-06 0.00252422740301245
"22" 4.54435429758552e-06 0.00206912407572998 7.70366651562367e-06 3.10105171679202e-05 2.5044831778001e-08 3.10050405182144e-05 0.000144406672244365 0.0167100615088578 6.87519185953023e-06 0.000916079303230884 0.000122857048869795 1.06205013926227e-05 0.000338803312362322 0.00102735039352392 1.26951496875592e-08 2.42707055057168e-05 0.000142607835700961 0.0181232509828843 0.018578787143 2.2945914688727e-05 0.000217331120116508 0.000224620724022865 1.11328665152396e-09 0.00102752911560966 0.0292336893268613 0.00681164358631853 0.00164552043363311 5.46924961097363e-06 2.44943467901896e-06 0.00295486174822972
"23" 6.9659491137322e-06 0.00254001993340512 1.0837618900962e-05 4.33001947416366e-05 4.04513665646036e-08 4.32904532460507e-05 0.000188780223151412 0.0161301671351842 9.06909033313718e-06 0.00111189049853701 0.000170627735316377 1.51480854575448e-05 0.000419903733815882 0.00128640776526682 2.25422670509828e-08 3.48349797925145e-05 0.000188279139495387 0.0177854764481134 0.0187832105949813 3.3475479296054e-05 0.000289133840149721 0.000299225429701603 2.34589328127217e-09 0.000844952100682759 0.0290880127854418 0.00748482591338955 0.00204627295071578 9.10747570837874e-06 3.8081149721885e-06 0.00341486515890658
