"X2.126","X2.348","X2.593","X2.864","X3.163","X3.494","X3.859","X4.262","X4.707","X5.199","X5.742","X6.342","X7.005","X7.736","X8.545","X9.437","X10.423","X11.512","X12.715","X14.044","X15.511","X17.131","X18.921","X20.898","X23.082","X25.493","X28.157","X31.099","X34.348","X37.936","X41.9","X46.277","X51.112","X56.453","X62.351","X68.865","X76.06","X84.007","X92.784","X102.478","X113.184","X125.01","X138.071","X152.496","X168.429","X186.026","X205.462","X226.928","X250.637","X276.824","X305.746","X337.69","X372.971","X411.939","X454.978","X502.513","X555.015","X613.003","X677.049","X747.786"
"54",0.367452,0.616864,1.044966,1.666222,2.41073,3.228275,4.008027,4.723716,5.278025,5.411258,5.422581,5.01948,4.562578,4.093508,3.482774,2.825614,2.278171,1.913811,1.72503,1.666139,1.701511,1.78909,1.9078,2.015435,2.113171,2.163458,2.17118,2.147339,2.100342,2.068262,2.024648,1.957639,1.882095,1.847736,1.813245,1.72769,1.720499,1.710011,1.655972,1.59923,1.555622,1.488603,1.42801,1.365979,1.276941,1.192598,1.108797,1.033016,0.937708,0.860152,0.775203,0.705011,0.644098,0.574028,0.521369,0.472653,0.438793,0.404056,0.383811,0.371882
"56",0.297382,0.484027,0.849343,1.429131,2.171506,3.018012,3.847414,4.620243,5.228954,5.410147,5.459954,5.070114,4.62151,4.152964,3.535666,2.864621,2.298061,1.915368,1.714002,1.646649,1.679681,1.774148,1.914417,2.042727,2.158579,2.23034,2.250553,2.229119,2.179049,2.13749,2.075756,1.987587,1.892973,1.84686,1.805155,1.714794,1.701952,1.691258,1.644974,1.59879,1.565909,1.508614,1.455917,1.399858,1.319543,1.240207,1.157118,1.080288,0.980323,0.897611,0.805895,0.728933,0.660794,0.582796,0.523274,0.46874,0.430324,0.393431,0.371702,0.359419
"57",0.398192,0.647122,1.05293,1.603871,2.238239,2.904479,3.521366,4.053716,4.427529,4.521012,4.462719,4.151959,3.773723,3.429577,2.96691,2.49108,2.095762,1.838007,1.715255,1.690709,1.731489,1.813306,1.921743,2.029915,2.131426,2.208761,2.255373,2.284806,2.30325,2.327015,2.33746,2.321578,2.289547,2.276245,2.253679,2.178592,2.151381,2.116597,2.039346,1.952952,1.876138,1.775932,1.681979,1.595426,1.487024,1.387281,1.285786,1.200876,1.097371,1.015505,0.927925,0.855199,0.79319,0.717916,0.658895,0.60062,0.561215,0.509822,0.478459,0.453343
"58",0.437385,0.729651,1.193738,1.813863,2.510319,3.238449,3.913391,4.524937,4.999615,5.14309,5.201027,4.93445,4.638939,4.356844,3.921354,3.391963,2.903396,2.524515,2.263192,2.079923,1.962534,1.894865,1.878154,1.875765,1.884528,1.882424,1.86941,1.85007,1.83015,1.827972,1.821606,1.796853,1.764056,1.759266,1.749615,1.688768,1.68453,1.674233,1.618839,1.558468,1.507474,1.434175,1.361884,1.29473,1.20962,1.130374,1.05233,0.985084,0.902088,0.837014,0.767139,0.710714,0.662651,0.603972,0.559986,0.517062,0.488846,0.452616,0.431,0.415111
"59",0.408461,0.68286,1.149338,1.815044,2.599544,3.468088,4.29385,5.067792,5.692484,5.835329,5.897867,5.432548,4.920517,4.357307,3.630921,2.82852,2.155033,1.696948,1.455453,1.384181,1.44175,1.582383,1.774076,1.943789,2.095414,2.180492,2.204609,2.184928,2.120829,2.066215,1.985964,1.879834,1.768972,1.708831,1.65668,1.555999,1.542191,1.530502,1.485538,1.445989,1.417679,1.366223,1.318125,1.269746,1.197298,1.125854,1.05261,0.983592,0.893779,0.820328,0.737132,0.667845,0.606839,0.537204,0.484402,0.436183,0.401957,0.370654,0.351885,0.341357
"60",0.349668,0.554172,0.908109,1.411014,2.015785,2.667937,3.293663,3.849226,4.258101,4.418381,4.430481,4.228941,3.974414,3.776598,3.471074,3.143613,2.863233,2.676689,2.58131,2.536585,2.517458,2.505936,2.502488,2.487893,2.457981,2.408754,2.333547,2.25094,2.174298,2.11391,2.055576,1.992056,1.932599,1.898095,1.870281,1.815214,1.797049,1.777947,1.728853,1.671252,1.618035,1.544386,1.470072,1.396077,1.302084,1.213658,1.120787,1.03921,0.94117,0.859548,0.775139,0.703301,0.641372,0.574366,0.521271,0.473759,0.440878,0.407464,0.387986,0.375665
"61",0.306286,0.485431,0.863563,1.487958,2.306049,3.280512,4.266526,5.251264,6.111656,6.359065,6.5464,6.005917,5.400113,4.642244,3.666266,2.588552,1.676097,1.01939,0.610211,0.417038,0.407291,0.537887,0.765677,1.044034,1.352543,1.634465,1.871868,2.058585,2.182844,2.288761,2.331724,2.309817,2.230109,2.20023,2.157044,1.99569,1.953647,1.910163,1.814151,1.726816,1.670466,1.594085,1.528471,1.471189,1.395446,1.318981,1.245112,1.177837,1.082559,1.009094,0.916666,0.841804,0.77422,0.68432,0.618397,0.549221,0.500276,0.445405,0.408668,0.381626
"62",0.863217,1.422464,2.141061,2.951434,3.725149,4.423118,4.955831,5.34577,5.537641,5.352269,5.087233,4.537136,3.995668,3.531335,2.987467,2.450578,2.027793,1.762388,1.635328,1.603063,1.629541,1.685596,1.763887,1.826035,1.876474,1.899045,1.892422,1.867911,1.831333,1.806003,1.775374,1.733397,1.685963,1.670638,1.657788,1.59966,1.596486,1.594829,1.555895,1.508545,1.465512,1.399391,1.337399,1.273513,1.186992,1.103378,1.018449,0.942001,0.850361,0.774885,0.695836,0.629933,0.573344,0.512875,0.467292,0.427813,0.401073,0.37657,0.363755,0.358502
"63",0.391378,0.660269,1.132989,1.815204,2.618934,3.496782,4.313447,5.060359,5.647066,5.750163,5.786185,5.335719,4.869248,4.384738,3.762073,3.068221,2.48444,2.081182,1.847321,1.735837,1.71052,1.734675,1.805654,1.865009,1.927608,1.959998,1.961205,1.939306,1.899195,1.875564,1.838101,1.783564,1.713382,1.688904,1.664023,1.577404,1.571574,1.559959,1.506494,1.456313,1.417651,1.35568,1.296982,1.241536,1.165953,1.093502,1.022588,0.958326,0.875622,0.809665,0.735641,0.674912,0.622194,0.559357,0.512671,0.467572,0.436052,0.402804,0.382585,0.369508
"64",1.061426,1.805703,2.747673,3.790892,4.726456,5.489851,5.94611,6.149757,6.089664,5.577892,5.068426,4.344551,3.775382,3.412885,3.087526,2.815073,2.639957,2.555427,2.509838,2.425965,2.285405,2.090014,1.874415,1.638163,1.420206,1.232326,1.087074,0.997761,0.961581,0.980809,1.03223,1.09598,1.161398,1.245189,1.313857,1.323894,1.364646,1.384367,1.355406,1.311747,1.265488,1.194053,1.124231,1.056469,0.976616,0.904883,0.839114,0.784574,0.723065,0.678242,0.631867,0.597648,0.571307,0.536805,0.513219,0.488335,0.474054,0.449543,0.435704,0.425038
"65",0.605046,1.035184,1.671535,2.498357,3.39019,4.330956,5.16274,5.915825,6.529509,6.537414,6.571544,5.965893,5.378836,4.710739,3.875901,2.927479,2.104521,1.497509,1.105065,0.894447,0.84296,0.907203,1.051891,1.220518,1.404563,1.554925,1.661732,1.729933,1.756372,1.777701,1.76527,1.717326,1.638269,1.601797,1.567077,1.453627,1.425633,1.40059,1.342756,1.291634,1.259393,1.210006,1.170886,1.136473,1.084213,1.033957,0.985688,0.940565,0.874997,0.8249,0.759978,0.707836,0.661627,0.597701,0.551504,0.50284,0.468577,0.427438,0.400804,0.381399
"67",1.010407,1.677481,2.51717,3.450801,4.303839,5.051287,5.569998,5.916507,6.049937,5.721292,5.37159,4.691382,4.070865,3.537314,2.95194,2.387238,1.955156,1.690895,1.565846,1.532703,1.552053,1.590677,1.639262,1.666402,1.684577,1.669988,1.630767,1.578921,1.523833,1.495276,1.469504,1.436421,1.407423,1.41643,1.423917,1.390344,1.413041,1.427362,1.404616,1.377712,1.355747,1.307315,1.25889,1.208495,1.136005,1.064769,0.992684,0.927082,0.845083,0.779013,0.706362,0.646955,0.596162,0.537459,0.493817,0.453789,0.426883,0.398726,0.382988,0.374438
"68",1.001946,1.658064,2.484556,3.404652,4.251921,5.003925,5.535991,5.908498,6.092227,5.81628,5.548121,4.940061,4.404995,3.944313,3.411435,2.852502,2.39004,2.063802,1.86316,1.736649,1.663669,1.622224,1.60882,1.587781,1.575684,1.546859,1.503049,1.458523,1.414341,1.391311,1.363491,1.333552,1.303255,1.305944,1.309629,1.269705,1.284752,1.295309,1.270575,1.242736,1.220328,1.175431,1.131345,1.086222,1.021726,0.958984,0.895998,0.838218,0.766674,0.709612,0.646832,0.595722,0.551976,0.50182,0.46527,0.431417,0.408886,0.385729,0.373053,0.366567
"69",0.633527,1.102789,1.792576,2.675933,3.601113,4.534953,5.310385,5.974793,6.453823,6.339667,6.240214,5.592714,4.99219,4.378257,3.646725,2.855873,2.202292,1.744146,1.464982,1.319323,1.283481,1.318799,1.408093,1.494172,1.586469,1.646449,1.67341,1.677251,1.650575,1.635584,1.604543,1.556123,1.490296,1.463011,1.442803,1.359527,1.35416,1.346012,1.302339,1.264837,1.240279,1.195032,1.155052,1.115914,1.056736,0.998924,0.941335,0.887674,0.815746,0.758638,0.691712,0.636987,0.589214,0.530367,0.487588,0.445928,0.416687,0.386827,0.368737,0.357678
"70",0.485742,0.865931,1.483839,2.327805,3.270072,4.268261,5.14267,5.915052,6.517647,6.490003,6.477715,5.842845,5.25896,4.638834,3.893884,3.067919,2.382142,1.903689,1.614531,1.458048,1.409925,1.425011,1.498576,1.562748,1.627509,1.658348,1.660842,1.640614,1.597775,1.568409,1.531219,1.477151,1.411931,1.390725,1.374535,1.29949,1.304854,1.308301,1.274781,1.245975,1.22899,1.188261,1.151787,1.114126,1.054646,0.994945,0.935338,0.878692,0.803885,0.744505,0.675123,0.618473,0.568398,0.509762,0.466702,0.426225,0.398155,0.371579,0.356019,0.347747
"71",0.466766,0.82258,1.407617,2.22456,3.144053,4.1358,5.015324,5.813029,6.456302,6.479631,6.538915,5.967801,5.454254,4.885746,4.172776,3.347703,2.633615,2.111309,1.765861,1.549531,1.452471,1.431387,1.47203,1.522395,1.588003,1.625885,1.632323,1.620511,1.588428,1.565763,1.523676,1.465424,1.393999,1.368396,1.343267,1.262517,1.259369,1.254889,1.217408,1.186128,1.167813,1.129269,1.095936,1.062654,1.009894,0.958036,0.906292,0.856538,0.78884,0.735573,0.671824,0.619804,0.574242,0.51775,0.476011,0.435905,0.407596,0.379017,0.361413,0.350509
"72",0.398673,0.693695,1.227024,2.026994,2.979331,4.061007,5.075069,6.046832,6.920168,7.06847,7.332453,6.769214,6.277957,5.617398,4.756258,3.704802,2.770582,2.045147,1.538921,1.213448,1.052905,1.013757,1.067198,1.148945,1.25462,1.33548,1.390804,1.420731,1.418003,1.417811,1.399877,1.357503,1.296108,1.275938,1.259217,1.181711,1.183558,1.182533,1.148763,1.123729,1.111904,1.079315,1.053662,1.027937,0.983729,0.938811,0.894439,0.8507,0.788377,0.74101,0.680343,0.631754,0.588866,0.531584,0.491158,0.449689,0.420791,0.389513,0.36955,0.356175
"73",0.411674,0.716965,1.250269,2.015597,2.90481,3.866198,4.738975,5.523999,6.129735,6.183768,6.214826,5.708862,5.226321,4.724478,4.094984,3.378258,2.762858,2.319542,2.037575,1.867617,1.783805,1.750315,1.76083,1.764631,1.777162,1.758312,1.713498,1.658812,1.58942,1.536888,1.483022,1.42311,1.357045,1.33895,1.32789,1.269652,1.280049,1.290012,1.266812,1.245305,1.232466,1.195671,1.161579,1.125131,1.066454,1.007309,0.947042,0.889699,0.814037,0.753427,0.684054,0.626687,0.576166,0.517364,0.474258,0.433372,0.405145,0.377861,0.361901,0.353154
"74",0.670653,1.180549,1.920362,2.855218,3.810352,4.766499,5.533664,6.167542,6.633228,6.482702,6.408075,5.764756,5.216432,4.657973,3.994546,3.236486,2.581277,2.091876,1.756521,1.528091,1.392336,1.317578,1.303468,1.302481,1.32736,1.34521,1.351225,1.350469,1.340638,1.344718,1.337554,1.317825,1.283853,1.285862,1.286346,1.228574,1.239473,1.244309,1.212495,1.184187,1.166526,1.126594,1.091744,1.056934,1.003466,0.950537,0.898977,0.849708,0.783777,0.732483,0.671007,0.621461,0.577555,0.522824,0.482817,0.443051,0.415481,0.38626,0.367753,0.355367
"75",0.821429,1.421802,2.237873,3.193604,4.099182,4.915551,5.501084,5.91674,6.146852,5.902305,5.724449,5.206856,4.818471,4.527714,4.163559,3.699577,3.26776,2.904797,2.596996,2.301144,2.026357,1.774289,1.571569,1.390641,1.258386,1.155502,1.082685,1.042248,1.025755,1.041298,1.067632,1.092024,1.110317,1.151165,1.184271,1.16659,1.192506,1.206593,1.181925,1.151875,1.125909,1.078885,1.034181,0.990174,0.931462,0.875563,0.822193,0.774634,0.715765,0.670557,0.619767,0.579658,0.545846,0.503723,0.473513,0.443249,0.423126,0.398823,0.383714,0.372878
"76",0.466699,0.865345,1.560464,2.569257,3.730982,4.997354,6.089284,7.040746,7.7737,7.554039,7.413121,6.356904,5.384259,4.312629,3.145283,2.018319,1.180811,0.669431,0.433457,0.41283,0.541324,0.752273,0.998238,1.21854,1.417548,1.553566,1.623583,1.648205,1.619693,1.605456,1.564594,1.506993,1.429454,1.411132,1.409447,1.332626,1.35484,1.3718,1.351528,1.336427,1.335403,1.301299,1.271468,1.237472,1.174595,1.108581,1.043114,0.97732,0.88843,0.818978,0.734821,0.666808,0.606744,0.534379,0.483816,0.434935,0.401121,0.370367,0.352579,0.343717
"77",0.641447,1.146553,1.890212,2.825532,3.779484,4.715096,5.458618,6.066011,6.48683,6.330413,6.229724,5.622655,5.1176,4.631678,4.035533,3.344942,2.73266,2.258882,1.907305,1.639463,1.45284,1.324208,1.259023,1.218805,1.214056,1.217289,1.2266,1.243042,1.258241,1.292389,1.319762,1.331521,1.325327,1.349697,1.363648,1.309946,1.32252,1.324346,1.283974,1.244382,1.21567,1.165661,1.122861,1.08295,1.026462,0.97348,0.923927,0.879816,0.819668,0.775289,0.719617,0.676453,0.639202,0.586782,0.549391,0.50813,0.48085,0.443843,0.420136,0.402126
"79",0.691741,1.187057,1.890838,2.775883,3.680463,4.59846,5.365545,6.044973,6.593593,6.557227,6.614649,6.089821,5.651933,5.161518,4.497336,3.65344,2.870628,2.232397,1.749634,1.397684,1.176981,1.07186,1.068113,1.111492,1.19312,1.268793,1.326163,1.360867,1.369886,1.374998,1.350597,1.299731,1.232417,1.200601,1.172248,1.099791,1.095346,1.094877,1.07188,1.058312,1.058093,1.041357,1.028867,1.015598,0.982314,0.945269,0.905244,0.864576,0.802508,0.751781,0.68765,0.633715,0.584683,0.523682,0.477933,0.433861,0.401757,0.371014,0.351756,0.339543
"80",0.511713,0.937421,1.632413,2.58808,3.645593,4.746175,5.66883,6.443012,6.994038,6.790754,6.598617,5.735317,4.931093,4.103603,3.186846,2.287778,1.604486,1.18866,1.004376,0.992879,1.101662,1.267668,1.46014,1.620716,1.756354,1.820117,1.831026,1.79951,1.729348,1.675677,1.605542,1.524891,1.433167,1.399339,1.376465,1.296767,1.304176,1.312924,1.287447,1.269459,1.264578,1.234837,1.209509,1.181894,1.129322,1.074325,1.018015,0.962619,0.884096,0.82224,0.745974,0.682922,0.62696,0.557598,0.506835,0.456763,0.421647,0.386701,0.365035,0.3517
"81",0.377867,0.647482,1.143418,1.885787,2.773918,3.769119,4.704068,5.581087,6.311391,6.439378,6.588919,6.092091,5.630918,5.096294,4.404574,3.574456,2.849238,2.302948,1.937182,1.697977,1.564163,1.501474,1.502006,1.513905,1.546528,1.557823,1.550548,1.53049,1.500844,1.49376,1.474266,1.44526,1.402574,1.399623,1.397512,1.335463,1.345517,1.348608,1.312622,1.278573,1.253676,1.203944,1.157912,1.111264,1.044576,0.979287,0.916138,0.856805,0.781803,0.722526,0.655247,0.601675,0.555635,0.501025,0.461733,0.425135,0.40047,0.376318,0.362718,0.355943
"82",0.653334,1.153953,1.8889,2.828637,3.80534,4.789719,5.601457,6.294512,6.821346,6.692875,6.637898,5.965063,5.378725,4.757559,4.008558,3.158198,2.431787,1.893137,1.526515,1.290223,1.171507,1.136546,1.170084,1.221004,1.29251,1.345637,1.382939,1.407102,1.401268,1.406452,1.401108,1.374386,1.325197,1.318402,1.312373,1.245389,1.25162,1.252802,1.21753,1.186918,1.166772,1.123507,1.084715,1.045021,0.986492,0.927467,0.869456,0.814329,0.743945,0.687534,0.623439,0.571509,0.526031,0.474044,0.436418,0.401879,0.378166,0.357309,0.345859,0.341139
"83",0.585117,1.05332,1.764608,2.684446,3.649925,4.604656,5.379055,5.997725,6.387222,6.187965,5.961366,5.248907,4.587837,3.958394,3.246208,2.530368,1.975546,1.632029,1.463885,1.41562,1.450753,1.521154,1.608757,1.664591,1.705178,1.701269,1.669731,1.619978,1.562332,1.533619,1.504575,1.474901,1.442249,1.452727,1.473227,1.435403,1.465259,1.488242,1.464597,1.437114,1.417223,1.3656,1.310579,1.252953,1.171292,1.091042,1.0118,0.938541,0.848576,0.776776,0.699031,0.636845,0.584178,0.524274,0.481871,0.443806,0.4192,0.394423,0.382269,0.378291
"85",0.515047,0.931141,1.601378,2.517366,3.526732,4.609443,5.557457,6.406889,7.084882,7.007478,7.012053,6.252445,5.560576,4.774049,3.853382,2.854426,2.023754,1.437184,1.076479,0.893457,0.855938,0.915749,1.04015,1.171321,1.307517,1.405815,1.471698,1.509163,1.50911,1.516011,1.50401,1.475143,1.422239,1.419554,1.418729,1.343443,1.356756,1.368313,1.333842,1.304242,1.286933,1.240825,1.199659,1.156823,1.090603,1.023417,0.957467,0.894191,0.812267,0.747319,0.672565,0.611838,0.559071,0.497684,0.453695,0.41324,0.385392,0.360778,0.347108,0.341184
"86",0.586643,1.061812,1.779882,2.698186,3.657166,4.606944,5.377354,6.015057,6.465616,6.340393,6.280952,5.717615,5.265157,4.839547,4.309339,3.669613,3.098717,2.647904,2.307964,2.028726,1.806467,1.633157,1.521893,1.426822,1.366396,1.3115,1.263903,1.228204,1.196027,1.187025,1.178396,1.163686,1.140845,1.149854,1.158581,1.119824,1.136934,1.147937,1.12522,1.102544,1.087005,1.050747,1.017008,0.982129,0.929786,0.877861,0.826575,0.778595,0.716633,0.667856,0.611768,0.566438,0.526854,0.480223,0.446624,0.415223,0.393836,0.372399,0.360195,0.353855
"87",0.517237,0.927334,1.575478,2.446004,3.388984,4.357605,5.186708,5.912914,6.467287,6.433214,6.436157,5.872527,5.373089,4.836081,4.159911,3.367979,2.660877,2.114831,1.736235,1.477042,1.323407,1.253261,1.254914,1.277468,1.325939,1.363727,1.384049,1.39736,1.390884,1.397687,1.398356,1.377091,1.343835,1.349576,1.356221,1.30678,1.323853,1.334373,1.305943,1.279729,1.263273,1.222237,1.185721,1.148273,1.088619,1.02991,0.971921,0.917176,0.843617,0.786665,0.718388,0.663002,0.615241,0.554873,0.511049,0.467565,0.438074,0.405684,0.386006,0.373602
"88",0.601796,1.091086,1.832133,2.783632,3.771337,4.753347,5.536472,6.157389,6.555925,6.332006,6.118146,5.381841,4.716954,4.078989,3.359544,2.622353,2.042444,1.663179,1.455159,1.364011,1.352229,1.381806,1.440423,1.484018,1.525935,1.538046,1.532159,1.517859,1.492629,1.49474,1.491994,1.476544,1.452506,1.470157,1.485942,1.434294,1.455389,1.469061,1.434712,1.394882,1.359339,1.301885,1.248794,1.194916,1.120344,1.049217,0.98174,0.920298,0.842638,0.783685,0.716519,0.663799,0.61931,0.563102,0.524228,0.485323,0.460522,0.429402,0.411948,0.401547
"89",0.706695,1.207839,1.911566,2.787022,3.679086,4.558927,5.279048,5.8877,6.330857,6.223996,6.155069,5.565058,5.038513,4.505907,3.848128,3.098234,2.450547,1.964885,1.633633,1.40907,1.284993,1.232882,1.244688,1.276669,1.334807,1.386857,1.429678,1.460434,1.480385,1.515184,1.532876,1.524888,1.493368,1.500957,1.502896,1.42876,1.433462,1.428171,1.375554,1.327132,1.291951,1.232382,1.177798,1.124473,1.053411,0.985427,0.92018,0.860553,0.786147,0.728306,0.663132,0.610717,0.565971,0.513029,0.474705,0.438262,0.414349,0.389092,0.374735,0.366988
"90",0.710022,1.226028,1.9519,2.833232,3.713375,4.553984,5.214491,5.732097,6.052538,5.882345,5.710314,5.142303,4.633302,4.173511,3.617421,3.002906,2.474152,2.089991,1.837296,1.675734,1.582497,1.535704,1.536596,1.538094,1.555048,1.556936,1.544036,1.525664,1.494661,1.482681,1.463057,1.435416,1.404863,1.409327,1.413469,1.368983,1.384926,1.397287,1.373829,1.347973,1.329539,1.284418,1.239814,1.192368,1.121132,1.049791,0.977698,0.909846,0.824214,0.754379,0.678258,0.615042,0.560262,0.499495,0.454325,0.414667,0.387538,0.364072,0.351924,0.347861
"91",1.231285,1.964006,2.834246,3.753315,4.547637,5.186353,5.580113,5.791626,5.810026,5.453605,5.12324,4.575954,4.148358,3.867862,3.543419,3.183435,2.867493,2.61865,2.424159,2.238518,2.053013,1.864856,1.701791,1.549422,1.425887,1.320754,1.237446,1.182699,1.152301,1.154469,1.169205,1.183451,1.195684,1.229621,1.256668,1.239446,1.259015,1.26771,1.239302,1.202058,1.167328,1.112226,1.058281,1.004616,0.936844,0.874109,0.814011,0.761289,0.699093,0.650499,0.600201,0.560434,0.527264,0.488965,0.461407,0.435422,0.419146,0.399341,0.388694,0.382429
"92",0.530268,0.92068,1.517666,2.295101,3.134712,3.987445,4.722544,5.343819,5.779749,5.735018,5.634932,5.104022,4.574271,4.056717,3.423549,2.744205,2.174237,1.774228,1.534806,1.415767,1.392558,1.432564,1.515861,1.59862,1.693029,1.758208,1.792916,1.807253,1.800557,1.805898,1.796075,1.76366,1.714243,1.709262,1.703867,1.635132,1.641661,1.640942,1.597356,1.554704,1.5187,1.456546,1.398004,1.338514,1.256352,1.175986,1.094356,1.019164,0.92431,0.847809,0.763722,0.694932,0.635393,0.566449,0.515614,0.468821,0.437827,0.405956,0.38853,0.38002
"93",0.851215,1.459347,2.275697,3.237159,4.168364,5.035843,5.679868,6.151723,6.408542,6.113686,5.848496,5.161768,4.574321,4.056072,3.476276,2.872483,2.390982,2.072513,1.890879,1.779226,1.722906,1.690879,1.679391,1.648078,1.625727,1.578239,1.511381,1.44055,1.372283,1.33143,1.294571,1.257238,1.22119,1.224232,1.23273,1.197222,1.220134,1.237616,1.218683,1.196618,1.179208,1.136476,1.093216,1.047388,0.981622,0.9161,0.85128,0.791042,0.718522,0.659935,0.597133,0.546444,0.503087,0.456479,0.42316,0.39436,0.375588,0.359467,0.352152,0.351133
"95",1.08942,1.716596,2.492796,3.368804,4.192277,4.977062,5.582249,6.081469,6.432159,6.25546,6.126343,5.514748,4.963003,4.412532,3.728982,2.964985,2.302363,1.804319,1.466871,1.255839,1.151419,1.124204,1.159248,1.211476,1.280231,1.334093,1.370599,1.389908,1.390067,1.39605,1.392047,1.373061,1.337412,1.337793,1.332122,1.272417,1.278809,1.280182,1.246091,1.214167,1.191737,1.148405,1.108986,1.06963,1.011702,0.95555,0.900127,0.848298,0.780299,0.727049,0.665346,0.61555,0.57208,0.519001,0.480018,0.442821,0.417153,0.38985,0.373599,0.363711
"96",0.917898,1.537113,2.346891,3.295729,4.198864,5.047279,5.690639,6.199447,6.52648,6.284872,6.086224,5.39117,4.7642,4.148616,3.431436,2.67177,2.043931,1.603241,1.329203,1.18495,1.144487,1.171259,1.247443,1.326115,1.41266,1.468091,1.501891,1.518527,1.509524,1.506574,1.492976,1.465566,1.421899,1.411623,1.404026,1.338874,1.344634,1.344552,1.306104,1.270314,1.245792,1.198469,1.155778,1.113062,1.050691,0.990119,0.930206,0.874713,0.802852,0.746573,0.681752,0.628927,0.583163,0.527218,0.486779,0.447977,0.421842,0.393795,0.377212,0.367417
"97",0.403479,0.684264,1.170089,1.867151,2.685992,3.576739,4.404475,5.175822,5.796356,5.922889,6.013821,5.595494,5.183057,4.744184,4.161489,3.471077,2.862379,2.409518,2.108957,1.916166,1.805154,1.751167,1.750718,1.753144,1.768901,1.768796,1.750691,1.719893,1.680913,1.663933,1.635675,1.594997,1.542982,1.529678,1.51398,1.438082,1.434425,1.428478,1.383892,1.337803,1.302047,1.244384,1.191968,1.141066,1.07156,1.005449,0.941019,0.882709,0.809032,0.751241,0.686142,0.633638,0.58845,0.534232,0.494836,0.456778,0.431144,0.402745,0.386162,0.376142
