"X2.126","X2.348","X2.593","X2.864","X3.163","X3.494","X3.859","X4.262","X4.707","X5.199","X5.742","X6.342","X7.005","X7.736","X8.545","X9.437","X10.423","X11.512","X12.715","X14.044","X15.511","X17.131","X18.921","X20.898","X23.082","X25.493","X28.157","X31.099","X34.348","X37.936","X41.9","X46.277","X51.112","X56.453","X62.351","X68.865","X76.06","X84.007","X92.784","X102.478","X113.184","X125.01","X138.071","X152.496","X168.429","X186.026","X205.462","X226.928","X250.637","X276.824","X305.746","X337.69","X372.971","X411.939","X454.978","X502.513","X555.015","X613.003","X677.049","X747.786"
"15",0.492523,0.85444,1.412195,2.133509,2.904858,3.666496,4.320008,4.87341,5.273151,5.327026,5.351194,5.089848,4.881109,4.73616,4.468468,4.073305,3.671134,3.32468,3.035612,2.763753,2.514041,2.28603,2.108394,1.949622,1.829155,1.728896,1.64109,1.57131,1.52035,1.497024,1.479982,1.45316,1.418596,1.409742,1.39644,1.33727,1.325297,1.309433,1.259249,1.204127,1.155296,1.090511,1.030203,0.972628,0.90367,0.840128,0.779435,0.727038,0.667025,0.619606,0.571268,0.532394,0.49975,0.463759,0.437359,0.413171,0.397305,0.379771,0.369896,0.36383
"17",0.392545,0.649549,1.08057,1.675676,2.362369,3.082609,3.747179,4.342344,4.803763,4.984862,5.086619,4.93666,4.787785,4.691983,4.452559,4.090677,3.705866,3.367568,3.084394,2.820667,2.578107,2.362606,2.191789,2.046307,1.931487,1.837439,1.753662,1.686586,1.635946,1.614623,1.599267,1.575169,1.549739,1.5463,1.536223,1.488013,1.482991,1.472244,1.428002,1.377795,1.330551,1.264306,1.200808,1.138348,1.06018,0.987236,0.914581,0.851217,0.776704,0.716253,0.653397,0.601698,0.557953,0.509687,0.472632,0.439212,0.416748,0.392747,0.379004,0.370445
"18",0.499796,0.832573,1.332395,1.973534,2.669178,3.376515,4.016357,4.593144,5.041592,5.182838,5.274894,5.088231,4.914251,4.781891,4.499396,4.083357,3.652537,3.277052,2.967637,2.688825,2.438762,2.22307,2.059129,1.922069,1.824253,1.741636,1.669779,1.612007,1.569152,1.547706,1.530291,1.502951,1.468891,1.459256,1.44743,1.395238,1.385789,1.371591,1.323611,1.272006,1.227661,1.167316,1.110883,1.056096,0.98727,0.92332,0.860661,0.805763,0.739941,0.687228,0.631299,0.585557,0.546564,0.502253,0.469197,0.438184,0.417062,0.39379,0.38049,0.372117
"19",0.409988,0.681662,1.134415,1.766371,2.499641,3.29683,4.048411,4.770365,5.391562,5.621893,5.845198,5.645229,5.471592,5.276202,4.899743,4.325506,3.732202,3.217198,2.79716,2.43272,2.139777,1.920624,1.782537,1.687682,1.645928,1.619572,1.599517,1.580445,1.559902,1.555943,1.543575,1.511472,1.458295,1.437989,1.41204,1.332689,1.312135,1.289196,1.234736,1.183247,1.14366,1.089282,1.041991,0.997992,0.940641,0.887393,0.836176,0.790705,0.732537,0.686753,0.634499,0.591831,0.555073,0.509587,0.475589,0.442128,0.418937,0.392957,0.376897,0.365891
"20",0.678443,1.121808,1.726563,2.443217,3.16524,3.847473,4.411524,4.867952,5.176175,5.183796,5.154337,4.898151,4.695738,4.585355,4.372657,4.061259,3.739413,3.45692,3.215633,2.968271,2.70759,2.442132,2.203252,1.979518,1.788039,1.621284,1.480255,1.3718,1.298336,1.263565,1.24629,1.233597,1.225789,1.240931,1.253664,1.232235,1.243287,1.246767,1.218547,1.181497,1.14601,1.092564,1.040017,0.987469,0.92187,0.86108,0.801437,0.75004,0.690048,0.642356,0.593491,0.554431,0.521922,0.485179,0.458338,0.433462,0.417861,0.398811,0.388678,0.382562
"21",0.614842,1.004283,1.548372,2.211733,2.902887,3.592867,4.197543,4.734784,5.145685,5.241684,5.29711,5.067766,4.854645,4.685657,4.376457,3.941507,3.50409,3.138917,2.852995,2.603965,2.393411,2.215587,2.088581,1.979259,1.894869,1.812193,1.731637,1.658835,1.592214,1.545712,1.499664,1.444702,1.390491,1.365705,1.339688,1.282533,1.271083,1.259061,1.220806,1.181153,1.149365,1.103144,1.06003,1.017674,0.960604,0.906741,0.852094,0.803464,0.742001,0.69214,0.637234,0.591568,0.551896,0.505823,0.470455,0.437166,0.413908,0.388966,0.374049,0.364353
"22",0.499094,0.862978,1.417298,2.125849,2.887911,3.652421,4.31373,4.891381,5.325282,5.405228,5.464164,5.214253,5.0087,4.84563,4.544205,4.102846,3.65267,3.263605,2.938398,2.641493,2.376133,2.144183,1.971231,1.828243,1.728164,1.648771,1.581751,1.527965,1.483445,1.46511,1.449936,1.425509,1.396038,1.389956,1.379381,1.324013,1.312916,1.297563,1.251087,1.202404,1.160737,1.103211,1.050222,0.999587,0.936006,0.877475,0.820349,0.770318,0.709974,0.662562,0.611888,0.570646,0.535384,0.49398,0.4634,0.434324,0.414717,0.392218,0.378832,0.36988
"23",0.390791,0.636838,1.049848,1.624828,2.292076,3.006644,3.685351,4.324416,4.85597,5.09122,5.274247,5.1667,5.064973,4.986793,4.747779,4.348745,3.922329,3.545046,3.22711,2.930748,2.6598,2.42301,2.239952,2.078155,1.947939,1.832602,1.729486,1.641499,1.570587,1.52656,1.491049,1.451538,1.410467,1.400718,1.394145,1.347689,1.345458,1.341373,1.30604,1.265034,1.228794,1.174089,1.120842,1.067111,0.997545,0.932047,0.866829,0.808432,0.738213,0.681657,0.622787,0.57391,0.532335,0.486767,0.45241,0.421675,0.401026,0.380059,0.368448,0.362108
"24",0.323964,0.514354,0.87236,1.405459,2.056337,2.77333,3.468083,4.121107,4.661018,4.932778,5.125365,5.054366,4.979345,4.941856,4.74838,4.414019,4.043121,3.708313,3.422678,3.144194,2.87622,2.623341,2.410811,2.21914,2.059505,1.919838,1.795248,1.695355,1.617,1.573417,1.540336,1.504124,1.469337,1.458206,1.445606,1.399325,1.393569,1.380713,1.333807,1.280821,1.233231,1.169243,1.108305,1.049696,0.978503,0.913409,0.849865,0.795346,0.731322,0.68089,0.628554,0.586547,0.551576,0.511075,0.480641,0.451867,0.433101,0.410122,0.397159,0.388275
"25",0.451537,0.764213,1.254893,1.895396,2.598823,3.302149,3.918868,4.441717,4.812245,4.901173,4.92284,4.726662,4.560755,4.48162,4.288301,3.998495,3.693263,3.427281,3.203341,2.980122,2.755114,2.535419,2.34912,2.17976,2.039868,1.920128,1.813364,1.726102,1.657985,1.621768,1.591294,1.554749,1.517563,1.50118,1.48334,1.427046,1.405994,1.382696,1.332647,1.276957,1.226729,1.162282,1.102048,1.044696,0.975631,0.913171,0.852045,0.800356,0.739118,0.691192,0.640913,0.599966,0.565785,0.524995,0.4938,0.463793,0.444196,0.419123,0.404341,0.393282
