"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27"
"11" 7.37325258622376e-08 6.03956617393838e-13 7.55983655483226e-05 8.43259505146218e-08 1.67335624195861e-06 2.02716721382426e-09 7.3118589616388e-06 1.52723917083481e-10 6.61017278473995e-06 3.75124126370057e-06 1.29979221380678e-10 6.02064555553149e-07 4.86986912673403e-09 0.000914689309914816 4.75269932501258e-09 5.49863291802991e-10 7.72252715429685e-09 1.14611253281496e-08 1.30084161768029e-11 2.32410890400285e-07 1.7134510033746e-08 4.02243785130641e-07 1.34764554824904e-09 5.34643261239007e-10 2.09853025669366e-07 1.06926162949146e-05 1.33461713412241e-07
"12" 1.50575605849731e-07 2.04952743255263e-12 0.000109988622506477 1.51039618702952e-07 2.54315610293071e-06 4.57606044722838e-09 1.17433220137602e-05 3.77311736451e-10 9.96098539107289e-06 5.71315230879724e-06 3.67353200664209e-10 1.12975369577044e-06 1.02120025745845e-08 0.00121704636017572 9.94365379120652e-09 1.16891908763505e-09 1.61409546182441e-08 2.42859595194248e-08 3.50587842465132e-11 4.36759511112728e-07 3.29928705672552e-08 7.05249374157817e-07 3.05149630866465e-09 1.21409714191972e-09 3.74281172344854e-07 1.72446455033311e-05 2.70936811326806e-07
"13" 2.88741059014139e-07 6.26317247123779e-12 0.000154541114297365 2.57635933125022e-07 3.73277480972052e-06 9.63328485961489e-09 1.80854595095598e-05 8.63248870225979e-10 1.4496436710134e-05 8.40279025519802e-06 9.48084383320674e-10 2.00467474551058e-06 2.01096983077266e-08 0.00157432794663699 1.95365636400347e-08 2.333764513866e-09 3.1680745687223e-08 4.83128112497209e-08 8.6894332784804e-11 7.76165402531499e-07 6.00792201142828e-08 1.1775335797703e-06 6.44364088718927e-09 2.57146435590678e-09 6.35726874305446e-07 2.66695483423564e-05 5.16432301139594e-07
"14" 5.24761015602798e-07 1.75050221689507e-11 0.000210788676788708 4.21551932888364e-07 5.31875676983127e-06 1.91085853588328e-08 2.68743530093597e-05 1.84992209760986e-09 2.04802675133261e-05 1.19967383220955e-05 2.2646503001988e-09 3.3916837897145e-06 3.75355084009264e-08 0.00198809261271148 3.63821169342529e-08 4.4168631017859e-09 5.89384995520981e-08 9.10737300589839e-08 2.00537971341996e-10 1.31518797346848e-06 1.04322429781834e-07 1.88592717901043e-06 1.28209996169995e-08 5.13259218303524e-09 1.0357995253759e-06 3.9798149096221e-05 9.32896423093528e-07
"15" 9.10577132815788e-07 4.52999376690524e-11 0.000280245219330485 6.65451681065677e-07 7.3873401740487e-06 3.60092857724886e-08 3.87215274167021e-05 3.74686549929539e-09 2.82036933196966e-05 1.66945405582731e-05 5.06027579464046e-09 5.50738478039753e-06 6.68997723484844e-08 0.00245899758291592 6.46947195189595e-08 7.98286934118752e-09 1.04699290850396e-07 1.63890827074861e-07 4.35195020444283e-10 2.138918673704e-06 1.73871851338846e-07 2.91400243841237e-06 2.42350890167041e-08 9.73381168877591e-09 1.62818821875609e-06 5.75880321641308e-05 1.60890747829628e-06
"16" 1.51759582128665e-06 1.09623368232796e-10 0.000364378388106954 1.01814923430929e-06 1.00346155855549e-05 6.48937198914439e-08 5.43119076727689e-05 7.22497774824038e-09 3.79846327197168e-05 2.27191482927988e-05 1.06683444313537e-08 8.62838417617043e-06 1.14534159794091e-07 0.00298683149748813 1.10502789917596e-07 1.38603790567083e-08 1.7865363480806e-07 2.83225674326101e-07 8.95152237349741e-10 3.35639470588647e-06 2.79625017262518e-07 4.36392851320194e-06 4.38096323205003e-08 1.76558967346631e-08 2.48064983950413e-06 8.11233877337076e-05 2.66494512521825e-06
"17" 2.44113368710811e-06 2.50091859947201e-10 0.000464584868829907 1.51557972337031e-06 1.33666283633366e-05 1.12445208643749e-07 7.44002573490667e-05 1.33426006516097e-08 5.01667356888187e-05 3.03172181441327e-05 2.1370834119661e-08 1.30992056521325e-05 1.89271730971901e-07 0.00357056430519522 1.82185351704675e-07 2.3231370024735e-08 2.94249472552594e-07 4.7232661366641e-07 1.7565162883787e-09 5.1039421049431e-06 4.35809811367979e-07 6.35816408608526e-06 7.61455452418038e-08 3.07967967146654e-08 3.67706028906073e-06 0.000111612610460865 4.26007036225042e-06
"18" 3.80515512383227e-06 5.41505483196672e-10 0.000582168617802633 2.20180847571941e-06 1.74994294586261e-05 1.88180436316092e-07 9.9806227612924e-05 2.37147590728552e-08 6.51182430303222e-05 3.97592689989676e-05 4.09143530466986e-08 1.93395823585226e-05 3.03128319706563e-07 0.00420841054446523 2.91097974218962e-07 3.77405501139537e-08 4.69683130174606e-07 7.63197080049393e-07 3.30584857807003e-09 7.54834892611697e-06 6.60615961063625e-07 9.0409468619367e-06 1.27824501884062e-07 5.18890418157107e-08 5.3195015213248e-06 0.000150383773297264 6.59881207060954e-06
"19" 5.76718362929911e-06 1.11906580250905e-09 0.000718322187199657 3.13006770020396e-06 2.25590788864118e-05 3.05304165895901e-07 0.000131408165448742 4.07345304206176e-08 8.32307056140826e-05 5.13397052012759e-05 7.52276680377975e-08 2.78508609009073e-05 4.72088006894756e-07 0.00489790267130373 4.5228906414249e-07 5.96267747691889e-08 7.29029865112523e-07 1.19890266149364e-06 5.99437189984221e-09 1.0889776540887e-05 9.76869610091767e-07 1.25795459462437e-05 2.08021217458053e-07 8.47675969477684e-08 7.53035681159986e-06 0.000198878131872858 9.93803139381867e-06
"20" 8.52325237488016e-06 2.21780945967284e-09 0.000874111210322296 4.36381001328969e-06 2.86816059450117e-05 4.81719767550301e-07 0.0001701358442173 6.78559788661978e-08 0.00010491758972252 6.53767130229419e-05 1.33388738674211e-07 3.92212767396739e-05 7.16993249330063e-07 0.00563597149009594 6.85305345026791e-07 9.18786019811014e-08 1.10351111352835e-06 1.83622835444671e-06 1.05120606979863e-08 1.53643276180563e-05 1.41274384151168e-06 1.71652497973746e-05 3.29233097757296e-07 1.34693665726479e-07 1.04543868422525e-05 0.00025864184007695 1.45935181672978e-05
